name,city,phone,address,county,latitude,longitude,type,status,shelf_available
Cossim Thika Arcade-Station,Thika,0719226101,Thika Arcade Mama Ngina Drive Ground Floor Thika town/Ngoingwa,Kiambu,-1.0332,37.0690,station,active,yes
Cossim Thika -Station,Thika,0797141180,"Makongeni, Ananas Station - Ananas mall, makongeni, Garissa Rd, Thika, 1st Floor Ananas mall",Kiambu,-1.0332,37.0690,station,active,yes
Cossim Ongata Rongai-Station,Rongai,0748168481,Ongata Rongai North Masai lodge Tuktuk stage Paran Business Centre Stall No32,Kajiado,-1.3879,36.7473,station,active,yes
Cossim Oyugis-Station,Oyugis,0768530582,Rachuonyo county hospital opposite Blue pharmacy room no.2,Homa Bay,-0.5167,34.7333,station,active,no
Cossim Nakuru-Station,Nakuru,0798343793,Prime Plaza Mburu Gichua Road Nakuru Ground Floor office No 109 Nakuru CBD Nakuru Kenya,Nakuru,-0.3031,36.0800,station,active,yes
Cossim Naivasha-Station,Naivasha,0790462805,"Cedar Complex,Opposite Naivasha County Referral Hospital Gate B. Room No. 6 Naivasha, Nakuru Kenya",Nakuru,-0.7176,36.4331,station,active,yes
Cossim Fedha-Station,Nairobi,0715432281,Aviators Business Park 1st Floor Room No.B22 Next Nyayo Estate Gate B,Nairobi,-1.3644,36.8673,station,active,yes
Cossim Gateway-Station,Nairobi,0202000090,"Airport North Road Gateway Mall 3rd Floor, Syokimau/Mlolongo/Greatwall gardens, Kenya-AIGX",Nairobi,-1.3644,36.8673,station,active,yes
Cossim Githurai-Station,Nairobi,0732314640,Mwihoko Road Wajukuu Plaza 1st Floor Office No 201,Nairobi,-1.1833,36.9167,station,active,yes
Cossim Kahawa West-Station,Nairobi,0734289943,Kahawa west stage stalls opposite quick mart super market 1st floor stall no.F2,Nairobi,-1.1833,36.9167,station,active,yes
Cossim Kasarani-Station,Nairobi,0717636392,"Nyali Stalls Opposite Shell petrol station, Stall No:G16 next to Naivas Supermarket, Kasarani-Clay city/kasarani/mwiki",Nairobi,-1.2167,36.9000,station,active,yes
Cossim Mtindwa-Station,Nairobi,0713510815,Mtindwa road off outering road opposite KCB ATM 1stfloor,Nairobi,-1.2500,36.8833,station,active,no
Cossim Roysambu-Station,Nairobi,0726968623,"JEWEL COMPLEX,2ND FLOOR NEXT AGHAKAN HOSPITAL",Nairobi,-1.2167,36.8833,station,active,yes
Cossim Shujaa Mall-Station,Nairobi,0729576615,Shujaa Mall ground floor along kayole spine road next to Sosian Main gate,Nairobi,-1.2833,36.9167,station,active,yes
Cossim Witeithie-Station,Nairobi,0799920344,"Thika road, Pegra plaza first floor, 1st floor, Room No. B1, opposite Zetech university",Nairobi,-1.1667,36.9333,station,active,yes
Cossim-Kisimani-Station,Mombasa,0702491234,"kisimani insider Fairdeal business centre ground floor door no G7 , kisimani stage.bombululu",Mombasa,-4.0435,39.6682,station,active,no
Cossim Mbita-Station,Mbita,0791649347,"Near mbita police station and KWF, next to Platinum Credit Ltd door No 2 from Platinum Credit Ltd",Homa Bay,-0.4333,34.2000,station,active,no
Cossim Maseno-Station,Maseno,0741048453,"Maseno, Jumia House, beside soda depot, opposite Mum's hotel, Kisumu, Kisumu West",Kisumu,-0.0167,34.6000,station,active,yes
Cossim Wote-Station,Makueni,0701399334,"directly opposite St Peters optical & Dental services, Post bank,Room No.6",Makueni,-1.7833,37.6333,station,active,no
Cossim Luanda-Station,Luanda,0768146906,"behind big ben plaza opposite rael's green groceries, emusire road",Vihiga,0.3333,34.4667,station,active,no
Cossim Kisumu-Station,Kisumu,0701662193,Kachok nyalenda route lakers place,Kisumu,-0.1022,34.7617,station,active,yes
Cossim Kisii-Station,Kisii,0758095927,Ouru Tower near KWFT 2nd floor,Kisii,-0.6833,34.7667,station,active,yes
Cossim Kakamega-Station,Kakamega,0708090429,Mega Mall 2nd floor Room No 14 Along kakamega kisumu road.,Kakamega,0.2833,34.7500,station,active,yes
Cossim Homabay-Station,Homabay,0703302935,"Homabay town,garage road Odongo investment opposite club 28 next toTOBBY'S TEXTILE.",Homa Bay,-0.5275,34.4569,station,active,no
Cossim Gilgil-Station,Gilgil,0746549052,"Crossroads plaza ground floor ,next to Nafuu main link supermarket ,uniform center",Nakuru,-0.5000,36.3167,station,active,yes
Cossim Eldoret-Station,Eldoret,0758509225,"Dalsa centere opposite wamogan oloo street,ground floor room 5",Uasin Gishu,0.5143,35.2698,station,active,yes
Cossim Awasi-Station,Awasi,0710717139,"Spurs driving school, Awasi room 3",Kisumu,-0.1667,34.9000,station,active,no